file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_2.json,o4-mini,stop,1593,5445,7038,0.0059895,0.0070092,0.0129987,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,1599,4419,6018,0.0048609000000000005,0.0070356,0.0118965,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_1.json,o4-mini,stop,2038,4624,6662,0.0050864000000000005,0.0089672,0.0140536,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/guide_0.json,gpt-4o-mini,stop,435,3845,4280,0.00057675,0.000261,0.00083775,gpt-4o-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_1.json,o4-mini,stop,1687,3548,5235,0.0039028,0.0074228,0.0113256,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_0.json,o4-mini,stop,1796,3698,5494,0.0040678,0.0079024,0.0119702,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/guide_1.json,gpt-4o-mini,stop,204,3077,3281,0.00046154999999999997,0.0001224,0.00058395,gpt-4o-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_2_1.json,gpt-4o-mini,stop,887,2254,3141,0.0003381,0.0005321999999999999,0.0008702999999999998,gpt-4o-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_2.json,o4-mini,stop,861,2985,3846,0.0032835,0.0037884000000000004,0.007071900000000001,o4-mini
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_2_2.json,gpt-4o-mini,stop,595,2034,2629,0.0003051,0.000357,0.0006621,gpt-4o-mini
